consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
832,Thalamoporella californica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on kelp, other algal substrates"
833,Thalamoporella gothica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on rock, shell"
141,Triticella elongata,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,NA,bays  in tunnels (invasive?)
889,Trypostega claviculata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, rock"
795,Tubulipora aliciae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,loosely attached to algae by small projections
796,Tubulipora pacifica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,often on algae; shallow water to about 100 m
797,Tubulipora tuba,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting algae, rock, shell;"
140,Bowerbankia gracilis,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,quiet waters (Puget Sound); rocks
848,Dakaria dawsoni,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
1403,Caprella alaskana,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"intertidal on bryozoans, sabellid worm tubes"
1404,Caprella brevirostris,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"On hydroids, algae,, abalone shells"
1407,Caprella ferrea,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"algae, hydroids, bryozoans, sabellid tubes,, other substrates"
1408,Caprella greenleyi,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"on the seastar Henricia in Boiler Bay, Oregon, but a rare habitat (McCain 1969; Martin 1977); on coralline algae, bryozoans."
1409,Caprella incisa,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"On hydroids (such as Aglaophenia, campanulariids), bryozoans, coralline algae,, kelp holdfasts"
1410,Caprella kennerlyi,adult,caprellid,grazer,Light & Smith,not reported,NA,all,all along coast on open shores; on hydroids like plumularia
1411,Caprella laeviuscula,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"On many substrates (hydroids, bryozoans, compound ascidians, algae, eelgrass); Martin (1977) notes the occasional presence on the animals of hydroids, the epiphytic diatom Isthmia."
1412,Caprella natalensis,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"intertidal on hydroids, algae, the surfgrass Phyllospadix, bryozoans,"
1413,Caprella penantis,adult,caprellid,grazer,Light & Smith,not reported,NA,all,NA
1414,Caprella pilipalma,adult,caprellid,grazer,Light & Smith,not reported,NA,all,on hydroids
506,Caprella sp.,adult,caprellid,grazer,none,NA,NA,all,NA
1415,Caprella verrucosa,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"On open coast, in bays, on hydroids, bryozoans, coralline algae."
1419,Cercops compactus,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"1970. Open rocky shore, on alga Plocamium, coralline algae, bryozoans, hydroids."
1417,Tritella laevis,adult,caprellid,grazer,Light & Smith,not reported,NA,all,"Intertidal on many substrates (hydroids, algae, bryozoans, coralline algae [e.g., Odonthalia], sponges);"
1418,Tritella pilimana,adult,caprellid,grazer,Light & Smith,not reported,NA,all,Widely occurring on open intertidal coast on many substrates (subtidal SoCal)
1406,Caprella equilibra,adult,caprellid,omnivore,Light & Smith,not reported,NA,all,"on hydroids, bryozoans,, ascidians,"
1420,Perotripus brevis,adult,caprellid,typical predator,Light & Smith,harpacticoid copepods,NA,all,"Intertidal on hydroids, other substrates on open coast; subtidal in SoCal; in tubes of Phyllochaetopterus prolifica in very low intertidal, Puget Sound"
678,cestode_1,cysticercoid,cestode,parasite,PO,not reported,NA,NA,NA
679,cestode_2,cysticercoid,cestode,parasite,PO,not reported,NA,NA,NA
684,trypanorhynch_1,plerocercoid?,cestode,parasite,PO,not reported,NA,NA,NA
694,trypanorhynch_2,plerocercoid,cestode,parasite,PO,not reported,NA,NA,NA
2274,Scolex pleuronectis,adult,cestode,parasite,205,not reported,NA,all,NA
